month,sido,sigungu,vehicle_type,count
2026-07,서울,계,승용,2768487
2026-07,서울,계,승합,77907
2026-07,서울,계,화물,293783
2026-07,서울,계,특수,11762
2026-07,서울,계,총계,3151939
2026-07,서울,강남구,승용,229287
2026-07,서울,강남구,승합,4209
2026-07,서울,강남구,화물,15594
2026-07,서울,강남구,특수,560
2026-07,서울,강남구,총계,249650
2026-07,서울,강동구,승용,150449
2026-07,서울,강동구,승합,3561
2026-07,서울,강동구,화물,14492
2026-07,서울,강동구,특수,485
2026-07,서울,강동구,총계,168987
2026-07,서울,강북구,승용,61464
2026-07,서울,강북구,승합,2607
2026-07,서울,강북구,화물,7749
2026-07,서울,강북구,특수,265
2026-07,서울,강북구,총계,72085
2026-07,서울,강서구,승용,177247
2026-07,서울,강서구,승합,5080
2026-07,서울,강서구,화물,19806
2026-07,서울,강서구,특수,758
2026-07,서울,강서구,총계,202891
2026-07,서울,관악구,승용,101346
2026-07,서울,관악구,승합,2908
2026-07,서울,관악구,화물,10758
2026-07,서울,관악구,특수,384
2026-07,서울,관악구,총계,115396
2026-07,서울,광진구,승용,82832
2026-07,서울,광진구,승합,2145
2026-07,서울,광진구,화물,9812
2026-07,서울,광진구,특수,237
2026-07,서울,광진구,총계,95026
2026-07,서울,구로구,승용,119070
2026-07,서울,구로구,승합,3854
2026-07,서울,구로구,화물,15865
2026-07,서울,구로구,특수,473
2026-07,서울,구로구,총계,139262
2026-07,서울,금천구,승용,74028
2026-07,서울,금천구,승합,2633
2026-07,서울,금천구,화물,12343
2026-07,서울,금천구,특수,299
2026-07,서울,금천구,총계,89303
2026-07,서울,노원구,승용,133198
2026-07,서울,노원구,승합,3512
2026-07,서울,노원구,화물,11446
2026-07,서울,노원구,특수,541
2026-07,서울,노원구,총계,148697
2026-07,서울,도봉구,승용,79952
2026-07,서울,도봉구,승합,2575
2026-07,서울,도봉구,화물,9816
2026-07,서울,도봉구,특수,370
2026-07,서울,도봉구,총계,92713
2026-07,서울,동대문구,승용,92998
2026-07,서울,동대문구,승합,2412
2026-07,서울,동대문구,화물,11693
2026-07,서울,동대문구,특수,318
2026-07,서울,동대문구,총계,107421
2026-07,서울,동작구,승용,95098
2026-07,서울,동작구,승합,2066
2026-07,서울,동작구,화물,7292
2026-07,서울,동작구,특수,355
2026-07,서울,동작구,총계,104811
2026-07,서울,마포구,승용,104833
2026-07,서울,마포구,승합,2773
2026-07,서울,마포구,화물,11825
2026-07,서울,마포구,특수,830
2026-07,서울,마포구,총계,120261
2026-07,서울,서대문구,승용,80746
2026-07,서울,서대문구,승합,2220
2026-07,서울,서대문구,화물,7341
2026-07,서울,서대문구,특수,272
2026-07,서울,서대문구,총계,90579
2026-07,서울,서초구,승용,159866
2026-07,서울,서초구,승합,3480
2026-07,서울,서초구,화물,14366
2026-07,서울,서초구,특수,477
2026-07,서울,서초구,총계,178189
2026-07,서울,성동구,승용,92014
2026-07,서울,성동구,승합,2567
2026-07,서울,성동구,화물,10057
2026-07,서울,성동구,특수,386
2026-07,서울,성동구,총계,105024
2026-07,서울,성북구,승용,108258
2026-07,서울,성북구,승합,3498
2026-07,서울,성북구,화물,9831
2026-07,서울,성북구,특수,329
2026-07,서울,성북구,총계,121916
2026-07,서울,송파구,승용,216228
2026-07,서울,송파구,승합,5218
2026-07,서울,송파구,화물,21502
2026-07,서울,송파구,특수,813
2026-07,서울,송파구,총계,243761
2026-07,서울,양천구,승용,130095
2026-07,서울,양천구,승합,3438
2026-07,서울,양천구,화물,13194
2026-07,서울,양천구,특수,698
2026-07,서울,양천구,총계,147425
2026-07,서울,영등포구,승용,120627
2026-07,서울,영등포구,승합,3386
2026-07,서울,영등포구,화물,16824
2026-07,서울,영등포구,특수,1156
2026-07,서울,영등포구,총계,141993
2026-07,서울,용산구,승용,63842
2026-07,서울,용산구,승합,1623
2026-07,서울,용산구,화물,5601
2026-07,서울,용산구,특수,184
2026-07,서울,용산구,총계,71250
2026-07,서울,은평구,승용,117089
2026-07,서울,은평구,승합,3300
2026-07,서울,은평구,화물,11538
2026-07,서울,은평구,특수,403
2026-07,서울,은평구,총계,132330
2026-07,서울,종로구,승용,40845
2026-07,서울,종로구,승합,3006
2026-07,서울,종로구,화물,5599
2026-07,서울,종로구,특수,297
